fips,name,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,,
30000,Montana,989415,902195,799065,786690,694409,674767,591024,559456,537606,548889,376053,243329,,
30001,Beaverhead,9246,9202,8424,8186,8187,7194,6671,6943,6654,7369,6446,5615,,
30003,Big Horn,12865,12671,11337,11096,10057,10007,9824,10419,8543,7015,,,,
30005,Blaine,6491,7009,6728,6999,6727,8091,8516,9566,9006,9057,,,,
30007,Broadwater,5612,4385,3318,3267,2526,2804,2922,3451,2738,3239,3491,2641,,
30009,Carbon,10078,9552,8080,8099,7080,8317,10241,11865,12571,15279,13962,7533,,
30011,Carter,1160,1360,1503,1799,1956,2493,2798,3280,4136,3972,,,,
30013,Cascade,81327,80357,77691,80696,81804,73418,53027,41999,41146,38836,28833,25777,,
30015,Chouteau,5813,5970,5452,6092,6473,7348,6974,7316,8635,11051,17191,10966,,
30017,Custer,11699,11696,11697,13109,12174,13227,12661,10422,11242,12194,14123,7891,,
30019,Daniels,1751,2017,2266,2835,3083,3755,3946,4563,5553,,,,,
30021,Dawson,8966,9059,9505,11805,11269,12314,9092,8618,9881,9239,12725,2443,,
30023,Deer Lodge,9298,9417,10278,12518,15652,18640,16553,13627,16293,15323,12988,17393,,
30025,Fallon,2890,2837,3103,3763,4050,3997,3660,3719,4568,4548,,,,
30027,Fergus,11586,11893,12083,13076,12611,14018,14015,14040,16531,28344,17385,6937,,
30029,Flathead,90928,74471,59218,51966,39460,32965,31495,24271,19200,21705,18785,9375,,
30031,Gallatin,89513,67831,50463,42865,32505,26045,21902,18269,16124,15864,14079,9553,,
30033,Garfield,1206,1279,1589,1656,1796,1981,2172,2641,4252,5368,,,,
30035,Glacier,13399,13247,12121,10628,10783,11565,9645,9034,5297,4178,,,,
30037,Golden Valley,884,1042,912,1026,931,1203,1337,1607,2126,,,,,
30039,Granite,3079,2830,2548,2700,2737,3014,2773,3401,3013,4167,2942,4328,,
30041,Hill,16096,16673,17654,17985,17358,18653,14285,13304,13775,13958,,,,
30043,Jefferson,11406,10049,7939,7029,5238,4297,4014,4664,4133,5203,5601,5330,,
30045,Judith Basin,2072,2329,2282,2646,2667,3085,3200,3655,5238,,,,,
30047,Lake,28746,26507,21041,19056,14445,13104,13835,13490,9541,,,,,
30049,Lewis and Clark,63395,55716,47495,43039,33281,28006,24540,22131,18224,18660,21853,19171,,
30051,Liberty,2339,2158,2295,2329,2359,2624,2180,2209,2198,2416,,,,
30053,Lincoln,19687,18837,17481,17752,18063,12537,8693,7882,7089,7797,3638,,,
30055,McCone,1734,1977,2276,2702,2875,3321,3258,3798,4790,4747,,,,
30057,Madison,7691,6851,5989,5448,5014,5211,5998,7294,6323,7495,7229,7695,,
30059,Meagher,1891,1932,1819,2154,2122,2616,2079,2237,2272,2622,4190,2526,,
30061,Mineral,4223,3884,3315,3675,2958,3037,2081,2135,1626,2327,,,,
30063,Missoula,109299,95802,78687,76016,58263,44663,35493,29038,21782,24041,23596,13964,,
30065,Musselshell,4538,4497,4106,4428,3734,4888,5408,5717,7242,12030,,,,
30067,Park,15636,15694,14562,12869,11197,13168,11999,11566,10922,11330,10731,7341,,
30069,Petroleum,494,493,519,655,675,894,1026,1083,2045,,,,,
30071,Phillips,4253,4601,5163,5367,5386,6027,6334,7892,8208,9311,,,,
30073,Pondera,6153,6424,6433,6731,6611,7653,6392,6716,6964,5741,,,,
30075,Powder River,1743,1858,2090,2520,2862,2485,2693,3159,3909,3357,,,,
30077,Powell,7027,7180,6620,6958,6660,7002,6301,6152,6202,6909,5904,,,
30079,Prairie,1179,1199,1383,1836,1752,2318,2377,2410,3941,3684,,,,
30081,Ravalli,40212,36070,25010,22493,14409,12341,13101,12978,10315,10098,11666,7822,,
30083,Richland,9746,9667,10716,12243,9837,10504,10366,10209,9633,8989,,,,
30085,Roosevelt,10425,10620,10999,10467,10365,11731,9580,9806,10672,10347,,,,
30087,Rosebud,9233,9383,10505,9899,6032,6187,6570,6477,7347,8002,7985,,,
30089,Sanders,11413,10227,8669,8675,7093,6880,6983,6926,5692,4903,3713,,,
30091,Sheridan,3384,4105,4732,5414,5779,6458,6674,7814,9869,13847,,,,
30093,Silver Bow,34200,34606,33941,38092,41981,46454,48422,53207,56969,60313,56848,47635,,
30095,Stillwater,9117,8195,6536,5598,4632,5526,5416,5694,6253,7630,,,,
30097,Sweet Grass,3651,3609,3154,3216,2980,3290,3621,3719,3944,4926,4029,3086,,
30099,Teton,6073,6445,6271,6491,6116,7295,7232,6922,6068,5870,9546,5080,,
30101,Toole,5324,5267,5046,5559,5839,7904,6867,6769,6714,3724,,,,
30103,Treasure,718,861,874,981,1069,1345,1402,1499,1661,1990,,,,
30105,Valley,7369,7675,8239,10250,11471,17080,11353,15181,11181,11542,13630,4355,,
30107,Wheatland,2168,2259,2246,2359,2529,3026,3187,3286,3751,5619,,,,
30109,Wibaux,1017,1068,1191,1476,1465,1698,1907,2161,2767,3113,,,,
30111,Yellowstone,147972,129352,113419,108035,87367,79016,55875,41182,30785,29600,22944,6212,,
